,template,type
0,{province}车站有哪些,1
1,{province}的车站都有哪些,1
2,{province}的车站有哪些,1
3,{province}的车站有什么,1
4,{province}的车站有些什么,1
5,{province}的火车站都有什么,1
6,{province}的火车站有哪些,1
7,{province}有哪些车站,1
8,{province}有哪些火车站,1
9,{province}有哪些列车站,1
10,{province}有啥车站,1
11,{province}有啥子车站,1
12,{province}有什么车站,1
13,{province}有什么车站吗,1
14,车经过{province}的哪些车站,1
15,火车经过{province}的哪些车站,1
16,列车经过{province}的哪些车站,1
17,哪些车站建在{province},1
18,哪些车站是{province}的,1
19,哪些车站位于{province},1
20,哪些车站在{province},1
21,哪些火车站建在{province},1
22,哪些火车站是{province}的,1
23,有哪些车站是{province}的,1
24,有哪些车站位于{province},1
25,有哪些车站在{province},1
26,有哪些是在{province}的车站,1
27,有什么车站坐落于{province},1
28,在{province}的车站有哪些,1
29,{station}可以搭乘哪些{train_type},2
30,经过{station}的{train_type}有什么,2
31,经过{station}有哪些{train_type},2
32,路过{station}的{train_type}有哪些,2
33,哪几辆{train_type}会经过{station},2
34,哪些{train_type}经过{station},2
35,哪些{train_type}可以到达{station},2
36,哪些{train_type}路过{station},2
37,哪些{train_type}是会经过{station}的,2
38,哪些{train_type}是经过{station}的,2
39,哪些{train_type}是中途经过{station}的,2
40,哪些{train_type}途径{station},2
41,哪些{train_type}要经过{station},2
42,啥{train_type}过{station},2
43,什么{train_type}会经过{station},2
44,什么{train_type}通过{station},2
45,什么{train_type}途径{station},2
46,途经{station}的{train_type}有哪些,2
47,途径{station}的{train_type}有哪些,2
48,想途径{station}应该坐哪些{train_type},2
49,有哪些{train_type}会经过{station},2
50,有哪些{train_type}会路过{station},2
51,有哪些{train_type}会途径{station},2
52,有哪些{train_type}经过{station},2
53,有哪些{train_type}是途径{station}的,2
54,有哪些{train_type}途径{station},2
55,有哪些{train_type}要经过{station},2
56,有哪些经过{station}的{train_type},2
57,有哪些途径{station}的{train_type},2
58,有什么{train_type}经过{station},2
59,在{station}可以乘坐哪些{train_type},2
60,{station}到{station}发什么{train_type},3
61,从{station}乘坐哪些{train_type}可以抵达{station},3
62,从{station}出发，坐什么{train_type}到{station},3
63,从{station}出发要到{station}去能坐哪些{train_type},3
